keyword,Title,Reviews,Review_points,Address,Country,City,State,Website,Phone,Page_URL,Google_id,Place_id,Latitude,Longitude,Category,Main_image,Image_1,Description,Price_Range,Open_Time_Monday,Open_Time_Tuesday,Open_Time_Wednesday,Open_Time_Thursday,Open_Time_Friday,Open_Time_Saturday,Open_Time_Sunday
"restaurant in gainesville, florida",Harry's Seafood Bar & Grille,2513,4.4,"110 SE 1st St, Gainesville, FL 32601, United States",United States,Gainesville,Florida,http://hookedonharrys.com/location/gainesville/,+1 352-372-1555,https://www.google.com/maps/place/Harry's+Seafood+Bar+&+Grille/data=!4m5!3m4!1s0x88e8a38cd6235c65:0x3837f5a7879fe891!8m2!3d29.6508005!4d-82.3242165?authuser=0&hl=en&rclk=1,0x88e8a38cd6235c65:0x3837f5a7879fe891,ChIJZVwj1oyj6IgRkeifh6f1Nzg,29.6508005,-82.3242165,restaurants,https://lh5.googleusercontent.com/p/AF1QipPYLSqvJRy10z_6Iq92dAay9LfbYAj1rj7kPWUX=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipPiHvkgvkePMmeIEgfVC8NOSLvKKEWO8vni_vN7=w1024-h960-p-k-no,"Hip spot fixing up New Orleans-inspired fare, from jambalaya to signature cocktails.",$$,Monday 11 AM–10 PM 2023-05-01,Tuesday 11 AM–10 PM 2023-05-02,Wednesday 11 AM–10 PM 2023-04-26,Thursday 11 AM–10 PM 2023-04-27,Friday 11 AM–11 PM 2023-04-28,Saturday 11 AM–11 PM 2023-04-29,Sunday 11 AM–10 PM 2023-04-30
"restaurant in gainesville, florida",Amelia's Italian Restaurant,472,4.5,"Behind the Hippodrome, 235 S Main St #107, Gainesville, FL 32601, United States","Gainesville, FL 32601",Gainesville,Florida,http://www.ameliasgainesville.com/,+1 352-373-1919,https://www.google.com/maps/place/Amelia's+Italian+Restaurant/data=!4m5!3m4!1s0x88e8a38d15e79b3d:0x723312a1ccdc4adb!8m2!3d29.6490834!4d-82.3242286?authuser=0&hl=en&rclk=1,0x88e8a38d15e79b3d:0x723312a1ccdc4adb,ChIJPZvnFY2j6IgR20rczKESM3I,29.6490834,-82.3242286,restaurants,https://lh5.googleusercontent.com/p/AF1QipMSUcvkgLaaO3kEg3dYzqgVzd-tgey4ss9pF8v0=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipP0g2eYo-eaGj8P_RN-ip9eUNBzdWmnrTSnEKGY=w1024-h960-p-k-no,"Casual, enduring bistro with old-world flair offering homemade pasta & other classic Italian dishes.",$$,Monday Closed 2023-05-01,Tuesday 5–8 PM 2023-05-02,Wednesday 5–8 PM 2023-04-26,Thursday 5–8 PM 2023-04-27,Friday 5–8 PM 2023-04-28,Saturday 5–8 PM 2023-04-29,Sunday 5–8 PM 2023-04-30
"restaurant in gainesville, florida",The Top,2510,4.5,"30 N Main St, Gainesville, FL 32601, United States",United States,Gainesville,Florida,http://www.thetophub.com/,+1 352-337-1188,https://www.google.com/maps/place/The+Top/data=!4m5!3m4!1s0x88e8a38c94e1e2db:0x6233f6b075bbc943!8m2!3d29.6525624!4d-82.3252783?authuser=0&hl=en&rclk=1,0x88e8a38c94e1e2db:0x6233f6b075bbc943,ChIJ2-LhlIyj6IgRQ8m7dbD2M2I,29.6525624,-82.3252783,restaurants,https://lh5.googleusercontent.com/p/AF1QipNEWDmG4oJHnJlubyxnt3R63N7lcYkv1FMTP5zB=w408-h307-k-no,https://lh5.googleusercontent.com/p/AF1QipNYnQG3AhAXRw0081Q7CIDJAnRovxaA95q93Kc5=w1024-h960-p-k-no,"Hip, casual spot serving burgers, beer & modern American fare, with vegan & vegetarian options.",$$,Monday Closed 2023-05-01,Tuesday 5 PM–2 AM 2023-05-02,Wednesday 5 PM–2 AM 2023-04-26,Thursday 5 PM–2 AM 2023-04-27,Friday 5 PM–2 AM 2023-04-28,Saturday 5 PM–2 AM 2023-04-29,Sunday 5 PM–2 AM 2023-04-30
"restaurant in gainesville, florida",Embers Wood Grill,1224,4.6,"3545 SW 34th St Suite A, Gainesville, FL 32608, United States",United States,Gainesville,Florida,http://embersofflorida.com/,+1 352-380-0901,https://www.google.com/maps/place/Embers+Wood+Grill/data=!4m5!3m4!1s0x88e8a326aebc3283:0x8850ffd793b1509!8m2!3d29.6211874!4d-82.3720499?authuser=0&hl=en&rclk=1,0x88e8a326aebc3283:0x8850ffd793b1509,ChIJgzK8riaj6IgRCRU7ef0PhQg,29.6211874,-82.3720499,restaurants,https://lh5.googleusercontent.com/p/AF1QipP55PnEBI7ENM7EEIgqhHaFdFw3Nnv-0im_jS-l=w408-h307-k-no,https://lh5.googleusercontent.com/p/AF1QipNeQi_xynwv4lX0Rexsb65XagsnxNaUi6dJTyrk=w1024-h960-p-k-no,High-end chophouse serves surf 'n' turf & a broad wine list with a full bar & outdoor seating.,$$$,Monday 5–9 PM 2023-05-01,Tuesday 5–9 PM 2023-05-02,Wednesday 5–9 PM 2023-04-26,Thursday 5–9 PM 2023-04-27,Friday 5–10 PM 2023-04-28,Saturday 5–10 PM 2023-04-29,Sunday Closed 2023-04-30
"restaurant in gainesville, florida",The Swamp Restaurant,829,4,"1104 SW 2nd Ave, Gainesville, FL 32601, United States",United States,Gainesville,Florida,https://www.swamprestaurant.com/%3Futm_source%3Dgoogle%2Borganic%26utm_medium%3Dmy-business%26utm_campaign%3Dswamp-gmb-organic-search,+1 352-377-9267,https://www.google.com/maps/place/The+Swamp+Restaurant/data=!4m5!3m4!1s0x88e8a382654d4409:0xab7df0289b2c425f!8m2!3d29.650503!4d-82.3361004?authuser=0&hl=en&rclk=1,0x88e8a382654d4409:0xab7df0289b2c425f,ChIJCURNZYKj6IgRX0Ismyjwfas,29.650503,-82.3361004,Traditional American restaurant,https://lh5.googleusercontent.com/p/AF1QipPGCC4rnWZUlXBxj6G_eg87ZVmFbx7Gef619mTV=w408-h272-k-no,https://lh5.googleusercontent.com/p/AF1QipMFdVFPJpATKJm6LKgNipdxMbL9KzC2PCKPwPvo=w1024-h960-p-k-no,Game-day hot spot for college football fans that serves up casual American eats & lots of booze.,$$,Monday 11 AM–11 PM 2023-05-01,Tuesday 11 AM–11 PM 2023-05-02,Wednesday 11 AM–11 PM 2023-04-26,Thursday 11 AM–11 PM 2023-04-27,Friday 11 AM–2 AM 2023-04-28,Saturday 11 AM–2 AM 2023-04-29,Sunday 10 AM–11 PM 2023-04-30
"restaurant in gainesville, florida",Paramount Grill,272,4.4,"12 SW 1st Ave, Gainesville, FL 32601, United States",United States,Gainesville,Florida,http://www.paramountgrill.com/,+1 352-378-3398,https://www.google.com/maps/place/Paramount+Grill/data=!4m5!3m4!1s0x88e8a38cfb58942d:0x23d64758cc2970f3!8m2!3d29.651178!4d-82.3255678?authuser=0&hl=en&rclk=1,0x88e8a38cfb58942d:0x23d64758cc2970f3,ChIJLZRY-4yj6IgR83ApzFhH1iM,29.651178,-82.3255678,restaurants,https://lh5.googleusercontent.com/p/AF1QipO7L6h-5sJ2Czo6wm_JHt5xtjNnF8P-O9heDjbI=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipPz_7W4Eq3SyAZLh22bDjGCaSEP4LFjFcd8eIOg=w1024-h960-p-k-no,Classic space with understated decor serves Mediterranean-inspired cuisine such as sautéed shrimp.,$$,Monday Closed 2023-05-01,Tuesday 11 AM–1:30 PM 2023-05-02,Wednesday 11 AM–1:30 PM 2023-04-26,Thursday 11 AM–1:30 PM 2023-04-27,Friday 11 AM–1:30 PM 2023-04-28,Saturday 5–9:30 PM 2023-04-29,Sunday 10 AM–2 PM 2023-04-30
"restaurant in gainesville, florida",Underground Kitchen,101,4.9,"722 NW 5th Ave, Gainesville, FL 32601, United States",United States,Gainesville,Florida,https://chefempowerment.org/,+1 352-451-4113,https://www.google.com/maps/place/Underground+Kitchen/data=!4m5!3m4!1s0x88e8a32dabef1dbf:0x1082acac5e79f171!8m2!3d29.6557437!4d-82.3323971?authuser=0&hl=en&rclk=1,0x88e8a32dabef1dbf:0x1082acac5e79f171,ChIJvx3vqy2j6IgRcfF5XqysghA,29.6557437,-82.3323971,Southern restaurant (US),https://lh5.googleusercontent.com/p/AF1QipPklDP5PN-6iEhBaO2iww5DSRh2M7uhULCv8A63=w408-h544-k-no,https://lh5.googleusercontent.com/p/AF1QipPklDP5PN-6iEhBaO2iww5DSRh2M7uhULCv8A63=w1024-h960-p-k-no,null,None,Monday Closed 2023-05-01,Tuesday Closed 2023-05-02,Wednesday 4–8 PM 2023-04-26,Thursday 4–8 PM 2023-04-27,Friday 4–8 PM 2023-04-28,Saturday 4–8 PM 2023-04-29,Sunday 3–8 PM 2023-04-30
"restaurant in gainesville, florida",Mark's Prime Steakhouse,551,4.5,"201 SE 2nd Ave #102, Gainesville, FL 32601, United States",United States,Gainesville,Florida,http://marksprimesteakhouse.com/,+1 352-336-0077,https://www.google.com/maps/place/Mark's+Prime+Steakhouse/data=!4m5!3m4!1s0x88e8a38d2d3564db:0x33953348bb3f8da2!8m2!3d29.650103!4d-82.323512?authuser=0&hl=en&rclk=1,0x88e8a38d2d3564db:0x33953348bb3f8da2,ChIJ22Q1LY2j6IgRoo0_u0gzlTM,29.650103,-82.323512,restaurants,https://lh5.googleusercontent.com/p/AF1QipMkEa8ZUS0wbqWj-SUfJTyGUApz6taiKxkM07hH=w408-h272-k-no,https://lh5.googleusercontent.com/p/AF1QipMkEa8ZUS0wbqWj-SUfJTyGUApz6taiKxkM07hH=w1024-h960-p-k-no,Prime meats & seafood entrees with traditional sides are showcased in this elegant steakhouse.,$$$$,Monday Closed 2023-05-01,Tuesday 5–9 PM 2023-05-02,Wednesday 5–9 PM 2023-04-26,Thursday 5–9 PM 2023-04-27,Friday 5–10 PM 2023-04-28,Saturday 5–10 PM 2023-04-29,Sunday Closed 2023-04-30
"restaurant in gainesville, florida",Bonefish Grill,1166,4.3,"3237 SW 35th Blvd, Gainesville, FL 32608, United States",United States,Gainesville,Florida,https://locations.bonefishgrill.com/florida/gainesville/3237-sw-35th-boulevard%3Fy_source%3D1_MTU1MDI3ODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,+1 352-377-8383,https://www.google.com/maps/place/Bonefish+Grill/data=!4m5!3m4!1s0x88e8a3257ffa393b:0xc8f7deb166265deb!8m2!3d29.6252127!4d-82.3776754?authuser=0&hl=en&rclk=1,0x88e8a3257ffa393b:0xc8f7deb166265deb,ChIJOzn6fyWj6IgR610mZrHe98g,29.6252127,-82.3776754,restaurants,https://lh5.googleusercontent.com/p/AF1QipMzpzbJi08EugBzryDM3NNf_C77_MB5HmLZH6in=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipMzpzbJi08EugBzryDM3NNf_C77_MB5HmLZH6in=w1024-h960-p-k-no,"Contemporary grill chain offering a seafood-centric menu, plus steaks & cocktails.",$$,Monday 11 AM–10 PM 2023-05-01,Tuesday 11 AM–10 PM 2023-05-02,Wednesday 11 AM–10 PM 2023-04-26,Thursday 11 AM–10 PM 2023-04-27,Friday 11 AM–11 PM 2023-04-28,Saturday 11 AM–11 PM 2023-04-29,Sunday 11 AM–9 PM 2023-04-30
"restaurant in gainesville, florida",Piesanos Stone Fired Pizza,1562,4.5,"1250 W University Ave, Gainesville, FL 32601, United States",United States,Gainesville,Florida,http://www.piesanostogo.com/locations.html,+1 352-375-2337,https://www.google.com/maps/place/Piesanos+Stone+Fired+Pizza/data=!4m5!3m4!1s0x88e8a3846bb2291b:0x58335ad3d10f3379!8m2!3d29.6524816!4d-82.3387756?authuser=0&hl=en&rclk=1,0x88e8a3846bb2291b:0x58335ad3d10f3379,ChIJGymya4Sj6IgReTMP0dNaM1g,29.6524816,-82.3387756,restaurants,https://lh5.googleusercontent.com/p/AF1QipNg8IRuaAfMVRWrITFXBhGAPlcdpL5pKv_7_vtY=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipNE7q8qZwhUzVCO9_3T47oDo7L80i8S86qnFabL=w1024-h960-p-k-no,"Local Italian chain serving stone-fired pizzas, plus pasta, entrees & subs, in a relaxed atmosphere.",$$,Monday 11 AM–12 AM 2023-05-01,Tuesday 11 AM–12 AM 2023-05-02,Wednesday 11 AM–12 AM 2023-04-26,Thursday 11 AM–12 AM 2023-04-27,Friday 11 AM–12 AM 2023-04-28,Saturday 11 AM–12 AM 2023-04-29,Sunday 11 AM–10 PM 2023-04-30
